code;name;code_system;value_set
1,44811E+14;History of benign schwannoma;http://snomed.info/sct;SNOMED-CT
1,68E+21;History of bilateral lung non-small cell carcinoma;http://snomed.info/sct;SNOMED-CT
1,6848E+16;History of bilateral primary malignant neoplasm of kidneys;http://snomed.info/sct;SNOMED-CT
1,68483E+16;History of bilateral primary malignant neoplasm of lungs;http://snomed.info/sct;SNOMED-CT
1,68477E+16;History of bilateral primary malignant neoplasm of ovaries;http://snomed.info/sct;SNOMED-CT
1,68485E+16;History of bilateral primary malignant neoplasm of testes;http://snomed.info/sct;SNOMED-CT
1,68484E+16;History of bilateral primary malignant neoplasm of ureters;http://snomed.info/sct;SNOMED-CT
161581005;History of birth asphyxia;http://snomed.info/sct;SNOMED-CT
289917002;History of bladder neoplasm;http://snomed.info/sct;SNOMED-CT
7,831E+12;History of blood transfusion reaction;http://snomed.info/sct;SNOMED-CT
3,28021E+14;History of bowel obstruction;http://snomed.info/sct;SNOMED-CT
6,90461E+14;History of bradycardia;http://snomed.info/sct;SNOMED-CT
427902001;History of branch retinal vein occlusion;http://snomed.info/sct;SNOMED-CT
473123009;History of bronchiolitis;http://snomed.info/sct;SNOMED-CT
1,26151E+14;History of bulimia nervosa;http://snomed.info/sct;SNOMED-CT
1,21473E+16;History of burn;http://snomed.info/sct;SNOMED-CT
429025008;History of calculus of kidney;http://snomed.info/sct;SNOMED-CT
1,09929E+15;History of cancer metastatic to bone;http://snomed.info/sct;SNOMED-CT
1,09897E+15;History of cancer metastatic to brain;http://snomed.info/sct;SNOMED-CT
1,09895E+15;History of cancer metastatic to liver;http://snomed.info/sct;SNOMED-CT
1,09896E+15;History of cancer metastatic to lung;http://snomed.info/sct;SNOMED-CT
1,09893E+15;History of cancer metastatic to lymph nodes;http://snomed.info/sct;SNOMED-CT
1,09894E+15;History of cancer metastatic to skin;http://snomed.info/sct;SNOMED-CT
7,3771E+13;History of cancer of ampulla of duodenum;http://snomed.info/sct;SNOMED-CT
8,8831E+13;History of cancer of floor of mouth;http://snomed.info/sct;SNOMED-CT
7,3751E+13;History of cancer of gall bladder;http://snomed.info/sct;SNOMED-CT
7,3891E+13;History of cancer of unknown primary site;http://snomed.info/sct;SNOMED-CT
7,3801E+13;History of cancer of urethra;http://snomed.info/sct;SNOMED-CT
1,10019E+16;History of carcinoma in situ of breast;http://snomed.info/sct;SNOMED-CT
1,07388E+16;History of carcinoma in situ of uterine cervix;http://snomed.info/sct;SNOMED-CT
6,90651E+14;History of carcinoma in situ of vulva;http://snomed.info/sct;SNOMED-CT
1204366000;History of carcinoma of duodenum;http://snomed.info/sct;SNOMED-CT
1204445009;History of carcinoma of lip;http://snomed.info/sct;SNOMED-CT
1204365001;History of carcinoma of pancreas;http://snomed.info/sct;SNOMED-CT
1204448006;History of carcinoma of rectosigmoid junction;http://snomed.info/sct;SNOMED-CT
1204447001;History of carcinoma of stomach;http://snomed.info/sct;SNOMED-CT
1186911009;History of carcinoma of tongue;http://snomed.info/sct;SNOMED-CT
6,72291E+14;History of carcinosarcoma of ovary;http://snomed.info/sct;SNOMED-CT
6,72281E+14;History of carcinosarcoma of uterus;http://snomed.info/sct;SNOMED-CT
429007001;History of cardiac arrest;http://snomed.info/sct;SNOMED-CT
1,31471E+14;History of cardiac arrhythmia;http://snomed.info/sct;SNOMED-CT
429235008;History of cardioembolic stroke;http://snomed.info/sct;SNOMED-CT
6,90491E+14;History of cardiomyopathy;http://snomed.info/sct;SNOMED-CT
789642001;History of carotid artery stenosis;http://snomed.info/sct;SNOMED-CT
1,44931E+14;History of carotid body neoplasm;http://snomed.info/sct;SNOMED-CT
472962008;History of cellulitis;http://snomed.info/sct;SNOMED-CT
472966006;History of cellulitis of skin;http://snomed.info/sct;SNOMED-CT
1,06918E+16;History of central serous retinopathy;http://snomed.info/sct;SNOMED-CT
6,90051E+14;History of cerebellar stroke;http://snomed.info/sct;SNOMED-CT
